Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.8,221556556,36537,6063.9,2244.0,1903,13871951,157752.1,cudaLaunchKernel
18.5,114213839,3095,36902.7,3877.0,1473,5252342,192897.2,cudaMemcpyAsync
17.9,110580782,15,7372052.1,16001.0,3837,77611572,20432409.9,cudaHostAlloc
15.1,93644194,1616,57948.1,8716.5,330,5720010,411296.3,cudaStreamSynchronize
6.3,39263423,15,2617561.5,2717317.0,23795,5027138,1675260.4,cuLibraryLoadData
2.0,12077318,4,3019329.5,2897250.0,632018,5650800,2757728.0,cudaGetDeviceProperties_v2_v12000
1.8,10991008,4971,2211.0,2134.0,1794,31840,653.8,cuLaunchKernel
1.1,6630261,4971,1333.8,210.0,120,2199303,41892.6,cuKernelGetFunction
0.8,4652622,69,67429.3,52568.0,2565,202069,44129.1,cudaMalloc
0.3,2154990,1,2154990.0,2154990.0,2154990,2154990,0.0,cudaProfilerStop
0.1,732127,2,366063.5,366063.5,9488,722639,504273.9,cudaFree
0.1,433583,206,2104.8,952.0,551,64401,6322.5,cudaDeviceSynchronize
0.1,369670,1669,221.5,161.0,150,6352,277.9,cudaStreamIsCapturing_v10000
0.0,300410,1676,179.2,130.0,40,1633,144.9,cuGetProcAddress_v2
0.0,298692,1,298692.0,298692.0,298692,298692,0.0,cuLibraryUnload
0.0,267104,16,16694.0,1803.5,1152,146265,36815.2,cudaStreamCreateWithFlags
0.0,189572,680,278.8,60.0,50,21000,1132.3,cudaMemsetAsync
0.0,125175,2,62587.5,62587.5,32250,92925,42903.7,cuModuleLoadData
0.0,42182,25,1687.3,1603.0,220,4549,1159.9,cuLibraryGetKernel
0.0,9036,6,1506.0,1447.5,461,2825,884.3,cuInit
0.0,8236,19,433.5,190.0,120,2324,615.5,cudaEventCreateWithFlags
0.0,5653,27,209.4,150.0,130,1433,247.3,cuOccupancyMaxActiveClusters
0.0,2594,1,2594.0,2594.0,2594,2594,0.0,cudaProfilerStart
0.0,1672,5,334.4,160.0,80,1062,410.3,cuModuleGetLoadingMode
0.0,1342,2,671.0,671.0,250,1092,595.4,cuOccupancyAvailableDynamicSMemPerBlock
0.0,440,2,220.0,220.0,120,320,141.4,cudaGetDriverEntryPoint_v11030
